,Date,R/Revenue/Thousand Dollars,R/Sales/Megawatthours,R/Customers/Count,R/Price/Cents/kWh,C/Revenue/Thousand Dollars,C/Sales/Megawatthours,C/Customers/Count,C/Price/Cents/kWh,I/Revenue/Thousand Dollars,I/Sales/Megawatthours,I/Customers/Count,I/Price/Cents/kWh,T/Revenue/Thousand Dollars,T/Sales/Megawatthours,T/Customers/Count,T/Price/Cents/kWh,O/Revenue/Thousand Dollars,O/Sales/Megawatthours,O/Customers/Count,O/Price/Cents/kWh,T/Revenue/Thousand Dollars.1,T/Sales/Megawatthours.1,T/Customers/Count.1,TPrice/Cents/kWh,State,Data Status
0,1990-01-28,17477.0,181752.0,,9.62,15818.0,178259.0,,8.87,3636.0,41610.0,,8.74,,,,,1918.0,14816.0,,12.95,38848.0,416438.0,,9.33,AK,Final
1,1990-01-28,123332.0,2070093.0,,5.96,54495.0,820415.0,,6.64,87762.0,2099546.0,,4.18,,,,,2851.0,53954.0,,5.28,268440.0,5044008.0,,5.32,AL,Final
2,1990-01-28,72506.0,1026320.0,,7.06,30966.0,474988.0,,6.52,37046.0,782491.0,,4.73,,,,,3117.0,47600.0,,6.55,143635.0,2331399.0,,6.16,AR,Final
3,1990-01-28,109332.0,1396499.0,,7.83,82694.0,1081793.0,,7.64,43274.0,809797.0,,5.34,,,,,7833.0,151064.0,,5.19,243133.0,3439153.0,,7.07,AZ,Final
4,1990-01-28,597161.0,6168009.0,,9.68,508517.0,6011774.0,,8.46,268759.0,4454664.0,,6.03,,,,,32100.0,869565.0,,3.69,1406536.0,17504013.0,,8.04,CA,Final
5,1990-01-28,71325.0,1046805.0,,6.81,65130.0,1158963.0,,5.62,24488.0,545387.0,,4.49,,,,,4054.0,58780.0,,6.9,164996.0,2809935.0,,5.87,CO,Final
6,1990-01-28,112085.0,1189718.0,,9.42,82881.0,957848.0,,8.65,36000.0,488530.0,,7.37,,,,,4057.0,35346.0,,11.48,235023.0,2671442.0,,8.8,CT,Final
7,1990-01-28,9483.0,168767.0,,5.62,23529.0,447252.0,,5.26,9519.0,237960.0,,4.0,,,,,1600.0,29484.0,,5.43,44131.0,883463.0,,5.0,DC,Final
8,1990-01-28,23079.0,313562.0,,7.36,13253.0,216547.0,,6.12,10922.0,251246.0,,4.35,,,,,423.0,4437.0,,9.53,47676.0,785791.0,,6.07,DE,Final
9,1990-01-28,495134.0,6443538.0,,7.68,253297.0,3758266.0,,6.74,66136.0,1318903.0,,5.01,,,,,22057.0,322470.0,,6.84,836625.0,11843176.0,,7.06,FL,Final
10,1990-01-28,179506.0,2740435.0,,6.55,128187.0,1833050.0,,6.99,93887.0,2061780.0,,4.55,,,,,8281.0,108539.0,,7.63,409862.0,6743804.0,,6.08,GA,Final
11,1990-01-28,19673.0,206583.0,,9.52,16173.0,168389.0,,9.6,20005.0,290727.0,,6.88,,,,,421.0,4822.0,,8.73,56272.0,670521.0,,8.39,HI,Final
12,1990-01-28,72421.0,1052126.0,,6.88,33805.0,590041.0,,5.73,35100.0,932603.0,,3.76,,,,,4036.0,72120.0,,5.6,145362.0,2646890.0,,5.49,IA,Final
13,1990-01-28,30423.0,637615.0,,4.77,13630.0,292299.0,,4.66,14839.0,580877.0,,2.55,,,,,274.0,4694.0,,5.84,59166.0,1515485.0,,3.9,ID,Final
14,1990-01-28,271486.0,3406453.0,,7.97,194986.0,2753088.0,,7.08,156722.0,3028473.0,,5.17,,,,,43609.0,703413.0,,6.2,666802.0,9891428.0,,6.74,IL,Final
15,1990-01-28,153248.0,2432950.0,,6.3,81417.0,1364532.0,,5.97,112848.0,2714379.0,,4.16,,,,,4228.0,58368.0,,7.24,351741.0,6570229.0,,5.35,IN,Final
16,1990-01-28,64873.0,836534.0,,7.75,51328.0,730361.0,,7.03,35814.0,615044.0,,5.82,,,,,2169.0,29658.0,,7.31,154184.0,2211597.0,,6.97,KS,Final
17,1990-01-28,94388.0,1772802.0,,5.32,41016.0,786612.0,,5.21,100584.0,2764590.0,,3.64,,,,,9096.0,203709.0,,4.47,245084.0,5527713.0,,4.43,KY,Final
18,1990-01-28,127576.0,1808037.0,,7.06,77376.0,1085651.0,,7.13,89121.0,1987988.0,,4.48,,,,,15715.0,256100.0,,6.14,309788.0,5137775.0,,6.03,LA,Final
19,1990-01-28,155448.0,1767550.0,,8.79,124665.0,1698605.0,,7.34,59096.0,840363.0,,7.03,,,,,10625.0,115409.0,,9.21,349834.0,4421928.0,,7.91,MA,Final
20,1990-01-28,137744.0,2333681.0,,5.9,52075.0,966266.0,,5.39,69585.0,1662862.0,,4.18,,,,,4446.0,61660.0,,7.21,263849.0,5024470.0,,5.25,MD,Final
21,1990-01-28,39992.0,440117.0,,9.09,21751.0,248913.0,,8.74,26873.0,391657.0,,6.86,,,,,1497.0,15178.0,,9.86,90113.0,1095864.0,,8.22,ME,Final
22,1990-01-28,200229.0,2623658.0,,7.63,140831.0,1785495.0,,7.89,154909.0,2689460.0,,5.76,,,,,11162.0,128002.0,,8.72,507131.0,7226615.0,,7.02,MI,Final
23,1990-01-28,96305.0,1542334.0,,6.24,39832.0,726184.0,,5.49,79284.0,2073336.0,,3.82,,,,,3886.0,64953.0,,5.98,219307.0,4406807.0,,4.98,MN,Final
24,1990-01-28,136962.0,2161975.0,,6.34,91402.0,1544925.0,,5.92,49549.0,1053156.0,,4.7,,,,,4708.0,71519.0,,6.58,282621.0,4831575.0,,5.85,MO,Final
25,1990-01-28,73090.0,1150317.0,,6.35,36912.0,516197.0,,7.15,42891.0,956432.0,,4.48,,,,,4199.0,53679.0,,7.82,157091.0,2676624.0,,5.87,MS,Final
26,1990-01-28,22485.0,387975.0,,5.8,11688.0,240235.0,,4.87,16626.0,550038.0,,3.02,,,,,1665.0,45306.0,,3.68,52464.0,1223554.0,,4.29,MT,Final
27,1990-01-28,290304.0,3963429.0,,7.32,131086.0,2084730.0,,6.29,109361.0,2341425.0,,4.67,,,,,10729.0,162372.0,,6.61,541479.0,8551955.0,,6.33,NC,Final
28,1990-01-28,20986.0,374447.0,,5.6,10970.0,182772.0,,6.0,7278.0,154540.0,,4.71,,,,,1405.0,41942.0,,3.35,40639.0,753700.0,,5.39,ND,Final
29,1990-01-28,36879.0,648868.0,,5.68,24635.0,430048.0,,5.73,14791.0,339435.0,,4.36,,,,,5153.0,88889.0,,5.8,81459.0,1507240.0,,5.4,NE,Final
30,1990-01-28,40023.0,396501.0,,10.09,17449.0,190279.0,,9.17,22527.0,295246.0,,7.63,,,,,1156.0,13232.0,,8.74,81156.0,895258.0,,9.07,NH,Final
31,1990-01-28,185063.0,1959965.0,,9.44,187986.0,2255650.0,,8.33,82691.0,1167491.0,,7.08,,,,,6660.0,46623.0,,14.28,462401.0,5429730.0,,8.52,NJ,Final
32,1990-01-28,30986.0,367429.0,,8.43,27865.0,359426.0,,7.75,18230.0,363038.0,,5.02,,,,,6038.0,106107.0,,5.69,83119.0,1196001.0,,6.95,NM,Final
33,1990-01-28,28193.0,488219.0,,5.77,17847.0,291877.0,,6.11,19531.0,484478.0,,4.03,,,,,1574.0,36992.0,,4.25,67146.0,1301566.0,,5.16,NV,Final
