,        Gross domestic product,Personal consumption expenditures,Personal consumption expenditures/Goods,Personal consumption expenditures/Goods/Durable goods,Personal consumption expenditures/Goods/Nondurable goods,Personal consumption expenditures/Services,Gross private domestic investment,Gross private domestic investment/Fixed investment,Gross private domestic investment/Fixed investment/Nonresidential,Gross private domestic investment/Fixed investment/Nonresidential/Structures,Gross private domestic investment/Fixed investment/Nonresidential/Equipment,Gross private domestic investment/Fixed investment/Nonresidential/Intellectual property products,Gross private domestic investment/Fixed investment/Residential,Gross private domestic investment/Change in private inventories,Net exports of goods and services,Net exports of goods and services/Exports,Net exports of goods and services/Exports/Goods,Net exports of goods and services/Exports/Services,Net exports of goods and services/Imports,Net exports of goods and services/Imports/Goods,Net exports of goods and services/Imports/Services,Government consumption expenditures and gross investment,Government consumption expenditures and gross investment/Federal,Government consumption expenditures and gross investment/Federal/National defense,Government consumption expenditures and gross investment/Federal/Nondefense,Government consumption expenditures and gross investment/State and local
1929,104.6,77.4,43.8,9.8,33.9,33.6,17.2,15.6,11.6,5.5,5.5,0.6,4.1,1.5,0.4,5.9,5.3,0.6,5.6,4.5,1.1,9.6,1.9,1.1,0.9,7.7
1930,92.2,70.1,38.2,7.7,30.5,32,11.4,11.7,9.2,4.4,4.2,0.6,2.5,-0.2,0.3,4.4,3.9,0.5,4.1,3.1,1,10.3,2,1.1,0.9,8.3
1931,77.4,60.7,31.7,5.9,25.8,29,6.5,7.7,5.8,2.6,2.6,0.5,1.9,-1.1,0,2.9,2.5,0.4,2.9,2.1,0.8,10.2,2.1,1.1,1,8.1
1932,59.5,48.7,24.1,4,20.2,24.6,1.8,4.2,3.3,1.4,1.5,0.4,0.9,-2.4,0,2,1.7,0.3,1.9,1.3,0.6,8.9,2,1.1,1,6.9
1933,57.2,45.9,23.8,3.8,20,22.2,2.3,3.7,3,1.1,1.4,0.4,0.7,-1.4,0.1,2,1.7,0.3,1.9,1.5,0.4,8.9,2.5,1,1.5,6.4
1934,66.8,51.5,28.5,4.6,23.9,23,4.3,4.9,3.8,1.2,2.1,0.5,1,-0.6,0.3,2.6,2.2,0.3,2.2,1.8,0.5,10.7,3.5,0.9,2.5,7.3
1935,74.2,55.9,31.6,5.5,26.1,24.3,7.4,6.2,4.8,1.4,2.8,0.6,1.4,1.1,-0.2,2.8,2.4,0.4,3,2.5,0.5,11.2,3.6,1.2,2.4,7.6
1936,84.8,62.2,36,6.7,29.2,26.2,9.4,8.2,6.4,1.9,3.9,0.6,1.8,1.2,-0.1,3,2.6,0.4,3.2,2.5,0.6,13.4,5.8,1.4,4.4,7.6
1937,93,66.8,38.4,7.4,31,28.5,13,10.3,8.2,2.7,4.8,0.7,2.2,2.6,0.1,4,3.5,0.6,4,3.2,0.8,13.1,5.3,1.4,3.8,7.8
1938,87.4,64.3,36,6.1,29.9,28.3,7.9,8.5,6.3,2.1,3.4,0.8,2.2,-0.6,1,3.8,3.2,0.6,2.8,2.2,0.7,14.2,5.9,1.5,4.4,8.3
1939,93.4,67.2,37.9,7.2,30.8,29.3,10.2,10,6.9,2.2,3.9,0.8,3.2,0.2,0.8,4,3.3,0.6,3.1,2.4,0.7,15.2,6.2,1.7,4.6,8.9
1940,102.9,71.3,40.6,8.3,32.3,30.7,14.6,12.2,8.5,2.6,5.2,0.8,3.6,2.4,1.5,4.9,4.1,0.8,3.4,2.7,0.7,15.6,6.8,2.8,4,8.7
1941,129.3,81.1,47.4,10.3,37.2,33.6,19.4,15,10.8,3.3,6.4,1.1,4.2,4.3,1,5.5,4.5,0.9,4.4,3.4,1,27.8,19.1,15.4,3.7,8.7
1942,166,89,51,7.6,43.4,38,11.8,9.9,7.5,2.2,4.1,1.2,2.4,1.9,-0.3,4.4,3.4,1,4.6,2.7,1.9,65.4,56.7,53.5,3.2,8.7
