Month,United States : all fuels (utility-scale) thousand megawatthours
Oct-21,321061.6853
Sep-21,348077.041
Aug-21,413949.2978
Jul-21,404662.6142
Jun-21,373670.8599
May-21,318830.8655
Apr-21,292469.1569
Mar-21,312151.6764
Feb-21,327824.2715
Jan-21,350704.7853
Dec-20,344335.2242
Nov-20,301243.0583
Oct-20,313522.6044
Sep-20,333249.4865
Aug-20,398269.3485
Jul-20,409550.0611
Jun-20,351734.0799
May-20,304583.8038
Apr-20,279574.1497
Mar-20,309577.4422
Feb-20,319540.1572
Jan-20,341839.1789
Dec-19,338401.6474
Nov-19,315849.092
Oct-19,320351.8848
Sep-19,360518.4683
Aug-19,401429.6936
Jul-19,410037.8104
Jun-19,352988.0739
May-19,330423.0477
Apr-19,296662.5694
Mar-19,326657.2076
Feb-19,315026.4842
Jan-19,359509.2341
Dec-18,342139.1116
Nov-18,322368.6568
Oct-18,324931.9431
Sep-18,356258.3017
Aug-18,408027.7567
Jul-18,411290.3197
Jun-18,371885.7613
May-18,338947.6056
Apr-18,300756.4404
Mar-18,321546.9537
Feb-18,306894.2135
Jan-18,373230.2797
Dec-17,350407.8653
Nov-17,308044.7163
Oct-17,318662.2771
Sep-17,335907.9831
Aug-17,384730.5863
Jul-17,404424.6458
Jun-17,358514.3102
May-17,323439.2167
Apr-17,295354.2492
Mar-17,319328.7421
Feb-17,291043.3141
Jan-17,344324.9517
Dec-16,345336.8745
Nov-16,297056.2628
Oct-16,312939.7279
Sep-16,351479.3328
Aug-16,409695.034
Jul-16,411881.0731
Jun-16,367775.7738
May-16,316778.6514
Apr-16,292888.7456
Mar-16,304384.2369
Feb-16,313680.3803
Jan-16,352713.7194
Dec-15,324420.6996
Nov-15,300646.8073
Oct-15,312105.7017
Sep-15,350115.3173
Aug-15,392109.5875
Jul-15,400412.4026
Jun-15,362403.0044
May-15,322080.7584
Apr-15,294127.6393
Mar-15,324186.0921
Feb-15,334470.607
Jan-15,360449.2625
Dec-14,337950.5911
Nov-14,317489.0209
Oct-14,314516.3276
Sep-14,339880.5712
Aug-14,384334.9782
Jul-14,385773.2733
Jun-14,357838.23
May-14,324718.2009
Apr-14,297625.2927
Mar-14,331817.5464
Feb-14,324344.1207
Jan-14,377249.8308
Dec-13,353021.2477
Nov-13,314539.6419
Oct-13,314925.4625
Sep-13,340940.9016
Aug-13,385285.7452
Jul-13,394845.6208
Jun-13,356822.6472
May-13,322155.6404
Apr-13,299332.8683
Mar-13,325398.834
Feb-13,309728.08
Jan-13,348967.3779
Dec-12,334634.7492
Nov-12,305975.851
Oct-12,311651.9307
Sep-12,334585.5627
Aug-12,395699.7492
Jul-12,414641.2175
Jun-12,360825.3809
May-12,336516.156
Apr-12,295229.2049
Mar-12,309089.5521
Feb-12,309389.4325
Jan-12,339526.4801
Dec-11,335740.4628
Nov-11,304102.1544
Oct-11,308698.5036
Sep-11,337931.3176
Aug-11,406511.3147
Jul-11,418692.7546
Jun-11,367727.015
May-11,323628.2381
Apr-11,302400.7244
Mar-11,318709.9409
Feb-11,313126.6071
Jan-11,362871.893
Dec-10,362119.0813
Nov-10,306009.6291
Oct-10,307920.6906
Sep-10,346045.1718
Aug-10,408884.1554
Jul-10,409725.4404
Jun-10,375759.4784
May-10,327936.4916
Apr-10,287800.2266
Mar-10,312167.6403
Feb-10,319734.7267
Jan-10,360957.167
Dec-09,350507.2953
Nov-09,296634.67
Oct-09,307040.3407
Sep-09,327400.6119
Aug-09,381221.4169
Jul-09,372542.2255
Jun-09,347658.2413
May-09,311305.8722
Apr-09,289537.2551
Mar-09,310602.9638
Feb-09,300887.3977
Jan-09,354992.6362
Dec-08,343898.2545
Nov-08,310046.2412
Oct-08,318547.3431
Sep-08,338056.13
Aug-08,388986.7188
Jul-08,402900.3362
Jun-08,373109.0269
May-08,325244.8019
Apr-08,305865.0312
Mar-08,324629.8496
Feb-08,325105.5971
Jan-08,362998.429
Dec-07,346290.3305
Nov-07,314102.5426
Oct-07,332615.4164
Sep-07,355393.9119
Aug-07,421796.6593
Jul-07,393226.4323
Jun-07,362754.8772
May-07,330202.758
Apr-07,303129.0636
Mar-07,320471.2425
Feb-07,323230.3948
Jan-07,353531.0948
Dec-06,336283.2459
Nov-06,309158.8264
Oct-06,321567.0913
Sep-06,332055.3208
Aug-06,407762.5364
Jul-06,410420.7933
Jun-06,364259.7976
May-06,330615.57
Apr-06,297858.0775
Mar-06,318729.7996
Feb-06,307333.43
Jan-06,328657.7385
Dec-05,348101.0706
Nov-05,306115.2362
Oct-05,316397.9236
Sep-05,350217.8005
Aug-05,404940.6811
Jul-05,402273.8465
Jun-05,363671.636
May-05,315062.1099
Apr-05,289562.3999
Mar-05,317458.2765
Feb-05,298500.3156
Jan-05,343121.4534
Dec-04,341947.9634
Nov-04,302101.2562
Oct-04,312450.2229
Sep-04,335622.1979
Aug-04,368439.0371
Jul-04,377331.6971
Jun-04,345085.0788
May-04,327380.2636
Apr-04,290559.9142
Mar-04,308812.0955
Feb-04,314279.9095
Jan-04,346545.627
Dec-03,331680.43
Nov-03,297866.711
Oct-03,306740.933
Sep-03,323135.534
Aug-03,381816.319
Jul-03,374396.05
Jun-03,328693.698
May-03,307544.887
Apr-03,285755.699
Mar-03,304317.265
Feb-03,299248.777
Jan-03,341988.901
Dec-02,324833.705
Nov-02,296289.561
Oct-02,307059.46
Sep-02,331279.434
Aug-02,374585.819
Jul-02,381542.107
Jun-02,341023.144
May-02,307674.569
Apr-02,289848.253
Mar-02,302549.011
Feb-02,281825.712
Jan-02,319941.476
Dec-01,305496.328
Nov-01,278933.942
Oct-01,294733.613
Sep-01,306928.866
Aug-01,370532.828
Jul-01,357613.7
Jun-01,327693.978
May-01,300491.621
Apr-01,278078.871
Mar-01,300706.544
Feb-01,282940.198
Jan-01,332493.16
