Quarter, Primary Energy Consumed by the Residential Sector(Trillion Btu), Total Energy Consumed by the Residential Sector(Trillion Btu), Primary Energy Consumed by the Commercial Sector(Trillion Btu), Total Energy Consumed by the Commercial Sector(Trillion Btu), Primary Energy Consumed by the Industrial Sector(Trillion Btu), Total Energy Consumed by the Industrial Sector(Trillion Btu), Primary Energy Consumed by the Transportation Sector(Trillion Btu), Total Energy Consumed by the Transportation Sector(Trillion Btu), Primary Energy Consumed by the Electric Power Sector(Trillion Btu), Energy Consumption Balancing Item(Trillion Btu), Primary Energy Consumption Total(Trillion Btu)
1973Q1,3497.543,5179.863,1773.872,2971.013,5794.743,7668.203,4504.396,4513.187,4761.713,5.413,20337.678
1973Q2,1618.239,3104.696,878.484,2118.524,5949.235,7945.741,4643.895,4652.427,4731.535,-5.036,17816.352
1973Q3,962.389,2893.214,608.617,2045.197,6206.504,8230.885,4735.322,4744.584,5401.046,3.204,17917.081
1973Q4,2147.877,3718.835,1162.01,2410.17,6737.14,8745.398,4693.676,4702.641,4836.339,3.754,19580.799
1974Q1,3210.954,4887.451,1639.053,2817.429,5722.147,7619.42,4257.543,4265.563,4760.164,-0.752,19589.11
1974Q2,1593.733,3135.884,853.042,2095.931,5566.777,7583.841,4550.721,4558.788,4810.175,-6.646,17367.799
1974Q3,956.815,2860.725,605.411,2031.094,6108.77,8170.831,4637.385,4645.981,5400.25,3.423,17712.053
1974Q4,2147.095,3770.71,1161.754,2450.831,6364.054,8377.442,4641.588,4650.163,4934.656,11.077,19260.223
1975Q1,3233.965,4977.032,1537.037,2810.151,5491.551,7399.608,4417.178,4425.699,4932.761,-3.898,19608.596
1975Q2,1760.1,3326.011,886.179,2210.4,4626.651,6611.554,4579.573,4587.873,4883.336,-10.63,16725.208
1975Q3,964.369,2881.364,582.083,2082.863,5316.983,7324.18,4606.599,4615.279,5433.65,8.134,16911.818
1975Q4,2031.862,3627.061,1054.056,2391.021,5965.164,8044.485,4607.199,4616.203,5020.49,7.037,18685.806
1976Q1,3300.504,5149.022,1629.885,2985.524,5352.404,7394.753,4554.756,4563.538,5255.286,4.574,20097.409
1976Q2,1600.354,3114.964,839.394,2192.808,5212.87,7405.985,4759.107,4767.151,5069.182,-7.722,17473.185
1976Q3,975.024,2875.944,603.247,2161.77,5623.568,7849.663,4835.839,4844.495,5694.194,3.054,17734.927
